image_path,label
/content/eurosat-dataset/EuroSAT/Forest/Forest_665.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2686.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2307.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2361.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_150.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2178.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2817.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2981.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1570.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_222.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1484.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_362.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1303.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2728.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2417.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2143.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2260.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_761.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_718.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2504.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1025.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_479.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_952.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2289.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_599.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_965.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2489.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1093.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_927.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2121.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_29.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2985.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_675.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2239.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2607.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1567.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_991.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_948.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2806.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1596.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1657.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_133.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2474.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1855.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1141.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1324.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1968.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1527.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_410.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1886.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2292.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2050.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1061.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_475.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2190.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_235.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2433.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1870.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_242.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2569.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2425.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_1366.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_434.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_762.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_765.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_523.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2936.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2926.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_330.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2107.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_2826.jpg,Forest
/content/eurosat-dataset/EuroSAT/Forest/Forest_117.jpg,Forest
